seed,vectorizer,model,params,accuracy,training_time,prediction_time,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 10}",0.613,0.5178094999864697,0.025505099911242723,0.5972803347280334,0.9965095986038395,0.7468933943754088,0.9545454545454546,0.09836065573770492,0.17834394904458598
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 150, 'max_depth': 20}",0.675,1.0346791999181733,0.02624939999077469,0.6462264150943396,0.956369982547993,0.7712878254750176,0.8355263157894737,0.297423887587822,0.4386873920552677
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.609,0.6356719000032172,0.026633800007402897,0.5947916666666667,0.9965095986038395,0.7449445531637312,0.95,0.08899297423887588,0.16274089935760172
4674627,TfidfVectorizer,RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.676,1.3194186000619084,0.03067840007133782,0.6456140350877193,0.9633507853403142,0.773109243697479,0.8551724137931035,0.2903981264637002,0.43356643356643354
4674627,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'linear'}",0.705,4.419475100003183,0.39188540005125105,0.7278688524590164,0.774869109947644,0.7506339814032121,0.6692307692307692,0.6112412177985949,0.6389228886168911
4674627,TfidfVectorizer,SVC,"{'C': 1, 'kernel': 'rbf'}",0.732,7.075602900004014,0.6119954999303445,0.7272727272727273,0.8516579406631762,0.7845659163987139,0.7416413373860182,0.5714285714285714,0.6455026455026455
4674627,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'linear'}",0.664,7.975009199930355,0.3478644998976961,0.7309941520467836,0.6544502617801047,0.6906077348066298,0.5934291581108829,0.6768149882903981,0.6323851203501094
4674627,TfidfVectorizer,SVC,"{'C': 10, 'kernel': 'rbf'}",0.715,13.393446800066158,0.6529027000069618,0.7345276872964169,0.787085514834206,0.7598989048020219,0.6839378238341969,0.6182669789227166,0.6494464944649446
4674627,TfidfVectorizer,MultinomialNB,{'alpha': 0.01},0.674,0.09542899997904897,0.012964499997906387,0.7407407407407407,0.6631762652705061,0.6998158379373849,0.6036960985626283,0.6885245901639344,0.6433260393873085
4674627,TfidfVectorizer,MultinomialNB,{'alpha': 1.0},0.72,0.09180350007954985,0.012852100073359907,0.7209653092006033,0.8342059336823735,0.7734627831715211,0.7181008902077152,0.5667447306791569,0.6335078534031413
4674627,TfidfVectorizer,LogisticRegression,{'C': 1},0.723,0.13523989997338504,0.013644600054249167,0.7262996941896025,0.8289703315881326,0.7742461287693562,0.7167630057803468,0.5807962529274004,0.6416558861578266
4674627,TfidfVectorizer,LogisticRegression,{'C': 10},0.698,0.1548167000291869,0.012947100098244846,0.7332185886402753,0.743455497382199,0.7383015597920277,0.649164677804296,0.6370023419203747,0.6430260047281324
4674627,TfidfVectorizer,KNeighbors,{'n_neighbors': 3},0.592,0.08314360002987087,0.15166009997483343,0.5854922279792746,0.9860383944153578,0.7347204161248374,0.7714285714285715,0.06323185011709602,0.11688311688311688
4674627,TfidfVectorizer,KNeighbors,{'n_neighbors': 5},0.584,0.08401140000205487,0.14639250002801418,0.5801838610827375,0.9912739965095986,0.7319587628865979,0.7619047619047619,0.03747072599531616,0.07142857142857142
4674627,TfidfVectorizer,KNeighbors,{'n_neighbors': 7},0.578,0.08625569997821003,0.15767340001184493,0.5766497461928934,0.9912739965095986,0.7291399229781772,0.6666666666666666,0.0234192037470726,0.04524886877828054
4674627,TfidfVectorizer,DecisionTree,{'max_depth': None},0.681,1.3497596000088379,0.01343230006750673,0.722027972027972,0.7207678883071553,0.7213973799126637,0.6261682242990654,0.6276346604215457,0.6269005847953216
4674627,TfidfVectorizer,DecisionTree,{'max_depth': 10},0.667,0.22149150003679097,0.012702999985776842,0.65625,0.8795811518324608,0.7516778523489933,0.7025862068965517,0.38173302107728335,0.4946889226100152
4674627,TfidfVectorizer,DecisionTree,{'max_depth': 20},0.698,0.39681810000911355,0.013446200056932867,0.6921985815602837,0.8516579406631762,0.7636932707355243,0.711864406779661,0.4918032786885246,0.5817174515235457
4674627,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 3}",0.715,3.480119499959983,0.013788199983537197,0.6894736842105263,0.9144851657940664,0.7861965491372843,0.7958333333333333,0.44730679156908665,0.5727136431784108
4674627,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 5}",0.709,6.034701300086454,0.014497999916784465,0.6920980926430518,0.8865619546247818,0.7773527161438408,0.7556390977443609,0.4707259953161593,0.5800865800865801
4674627,TfidfVectorizer,GradientBoosting,"{'n_estimators': 100, 'max_depth': 7}",0.712,8.662478900048882,0.015206100069917738,0.70042194092827,0.8691099476439791,0.7757009345794392,0.740484429065744,0.5011709601873536,0.5977653631284916
4674627,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 3}",0.712,5.171934799989685,0.013570600072853267,0.6917900403768507,0.8970331588132635,0.7811550151975684,0.7704280155642024,0.4637002341920375,0.5789473684210527
4674627,TfidfVectorizer,GradientBoosting,"{'n_estimators': 150, 'max_depth': 5}",0.711,8.962553399964236,0.014808699954301119,0.6977715877437326,0.8743455497382199,0.7761425251742835,0.7446808510638298,0.4918032786885246,0.5923836389280677
